H,1,1.00794,1,-1,0,1s1
He,2,4.002602,1,0,0,1s2
Li,3,6.941,1,0,0,[He] 2s1
Be,4,9.012182,2,0,0,[He] 2s2
B,5,10.811,0,0,0,[He] 2s2 2p1
C,6,12.0107,0,0,0,[He] 2s2 2p2
N,7,14.0067,-3,0,0,[He] 2s2 2p3
O,8,15.9994,-2,0,0,[He] 2s2 2p4
F,9,18.9984032,-1,0,0,[He] 2s2 2p5
Ne,10,20.1797,0,0,0,[He] 2s2 2p6
Na,11,22.98976928,1,0,0,[Ne] 3s1
Mg,12,24.3050,2,0,0,[Ne] 3s2
Al,13,26.9815386,3,0,0,[Ne] 3s2 3p1
Si,14,28.0855,0,0,0,[Ne] 3s2 3p2
P,15,30.973762,-3,0,0,[Ne] 3s2 3p3
S,16,32.065,-2,0,0,[Ne] 3s2 3p4
Cl,17,35.453,-1,0,0,[Ne] 3s2 3p5
Ar,18,39.948,0,0,0,[Ne] 3s2 3p6
K,19,39.0983,1,0,0,[Ar] 4s1
Ca,20,40.078,2,0,0,[Ar] 4s2
Sc,21,44.955912,3,0,0,[Ar] 3d1 4s2
Ti,22,47.867,4,3,0,[Ar] 3d2 4s2
V,23,50.9415,5,4,0,[Ar] 3d3 4s2
Cr,24,51.9961,3,2,0,[Ar] 3d5 4s1
Mn,25,54.938045,2,3,4,[Ar] 3d5 4s2
Fe,26,55.845,3,2,0,[Ar] 3d6 4s2
Co,27,58.933195,2,3,0,[Ar] 3d7 4s2
Ni,28,58.6934,2,3,0,[Ar] 3d8 4s2
Cu,29,63.546,2,1,0,[Ar] 3d10 4s1
Zn,30,65.38,2,0,0,[Ar] 3d10 4s2
Ga,31,69.723,3,0,0,[Ar] 3d10 4s2 4p1
Ge,32,72.64,4,0,0,[Ar] 3d10 4s2 4p2
As,33,74.92160,-3,0,0,[Ar] 3d10 4s2 4p3
Se,34,78.96,-2,0,0,[Ar] 3d10 4s2 4p4
Br,35,79.904,-1,0,0,[Ar] 3d10 4s2 4p5
Kr,36,83.798,0,0,0,[Ar] 3d10 4s2 4p6
Rb,37,85.4678,1,0,0,[Kr] 5s1
Sr,38,87.62,2,0,0,[Kr] 5s2
Y,39,88.90585,3,0,0,[Kr] 4d1 5s2
Zr,40,91.224,4,0,0,[Kr] 4d2 5s2
Nb,41,92.90638,3,5,0,[Kr] 4d4 5s1
Mo,42,95.96,2,3,0,[Kr] 4d5 5s1
Tc,43,98,7,0,0,[Kr] 4d5 5s2
Ru,44,101.07,3,4,0,[Kr] 4d7 5s1
Rh,45,102.90550,3,4,0,[Kr] 4d8 5s1
Pd,46,106.42,2,4,0,[Kr] 4d10
Ag,47,107.8682,1,0,0,[Kr] 4d10 5s1
Cd,48,112.411,2,0,0,[Kr] 4d10 5s2
In,49,114.818,3,0,0,[Kr] 4d10 5s2 5p1
Sn,50,118.710,4,2,0,[Kr] 4d10 5s2 5p2
Sb,51,121.760,3,5,0,[Kr] 4d10 5s2 5p3
